Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
12/26/2019,Reservation,HMN24JDZDK,12/25/2019,2,PHP,2696.6,,83.4,350,2019
12/23/2019,Payout,,,,PHP,,3814.5,,,
12/23/2019,Reservation,HMACSQPYEX,12/22/2019,2,PHP,2764.5,,85.5,350,2019
12/23/2019,Resolution Payout,HMACSQPYEX,12/22/2019,2,PHP,1050,,,,2019
12/21/2019,Payout,,,,PHP,,2665.56,,,
12/21/2019,Reservation,HMAKP5SRSR,12/20/2019,2,PHP,2665.56,,82.44,350,2019
12/07/2019,Payout,,,,PHP,,11961,,,
12/07/2019,Reservation,HMAD5MHPCA,12/06/2019,13,PHP,10961,,339,0,2019
12/07/2019,Resolution Payout,HMAD5MHPCA,12/06/2019,13,PHP,1000,,,,2019
11/26/2019,Payout,,,,PHP,,14914.2,,,
11/26/2019,Resolution Payout,HMAMQM9E2C,11/25/2019,10,PHP,500,,,,2019
11/26/2019,Reservation,HMAMQM9E2C,11/25/2019,10,PHP,14414.2,,445.8,350,2019
11/24/2019,Payout,,,,PHP,,3220.4,,,
11/24/2019,Reservation,HMAAFRHCEE,11/23/2019,2,PHP,3220.4,,99.6,350,2019
11/21/2019,Payout,,,,PHP,,3037.65,,,
11/21/2019,Reservation,HMARXPSZR2,11/20/2019,3,PHP,3037.65,,93.95,350,2019
11/19/2019,Payout,,,,PHP,,2667.5,,,
11/19/2019,Reservation,HMAETZQNXP,11/18/2019,2,PHP,2667.5,,82.5,350,2019
11/17/2019,Payout,,,,PHP,,2452.16,,,
11/17/2019,Reservation,HMAQF2F2SD,11/16/2019,2,PHP,2452.16,,75.84,350,2019
11/15/2019,Payout,,,,PHP,,2138.27,,,
11/15/2019,Reservation,HMABYEKREN,11/14/2019,2,PHP,2138.27,,66.13,350,2019
